epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5954065918922424,0.8596096038818359,0.0010000000474974513,1.3564767837524414,0.6507846117019653,0.529172956943512,0.7884199023246765,0.9579008221626282,0.8373842239379883,0.8610540628433228,0.6807359457015991
1,0.6924950480461121,0.9158071279525757,0.0010000000474974513,1.0855880975723267,0.7463260293006897,0.6303213238716125,0.7922077775001526,0.9621651768684387,0.837947428226471,0.8336391448974609,0.737554132938385
2,0.7194061279296875,0.9268909692764282,0.0010000000474974513,1.0182584524154663,0.7748610973358154,0.6471406817436218,0.822510838508606,0.9694305658340454,0.8022323250770569,0.8593656420707703,0.7770562767982483
3,0.7301937341690063,0.934809684753418,0.0010000000474974513,0.9704487919807434,0.7857831716537476,0.6616401672363281,0.8311688303947449,0.971088707447052,0.7846890687942505,0.8722891807556152,0.7835497856140137
4,0.7351815104484558,0.9350979924201965,0.0010000000474974513,0.9640787839889526,0.7950956225395203,0.6657000184059143,0.8360389471054077,0.9761830568313599,0.7554451823234558,0.8755261301994324,0.7878788113594055
5,0.7393574118614197,0.9402634501457214,0.0010000000474974513,0.9423168301582336,0.8016048669815063,0.6720798015594482,0.8306276798248291,0.9696921110153198,0.7865403890609741,0.8682453036308289,0.773809552192688
6,0.740285336971283,0.9375666975975037,0.0010000000474974513,0.952808141708374,0.8043447732925415,0.6657000184059143,0.8495671153068542,0.9757791757583618,0.7513815760612488,0.8849821090698242,0.8035714030265808
7,0.7395893931388855,0.9392136931419373,0.0010000000474974513,0.9471273422241211,0.7958333492279053,0.6646560430526733,0.8333333134651184,0.9705970287322998,0.7830500602722168,0.8754534721374512,0.7835497856140137
8,0.7415612936019897,0.9393649697303772,0.0010000000474974513,0.9444445371627808,0.79783695936203,0.6674399971961975,0.8300865888595581,0.9690281748771667,0.7928179502487183,0.8715929985046387,0.7786796689033508
9,0.7501450181007385,0.9417637586593628,0.0010000000474974513,0.9353424906730652,0.8069232106208801,0.678691565990448,0.8398268222808838,0.9759827852249146,0.7547959089279175,0.883901834487915,0.7992424368858337
10,0.7380814552307129,0.9393600225448608,0.0010000000474974513,0.94637531042099,0.8000277876853943,0.6677879691123962,0.8636363744735718,0.9789245128631592,0.7277663350105286,0.9007307887077332,0.8003246784210205
11,0.7420253157615662,0.9387384653091431,0.0010000000474974513,0.9461162090301514,0.803551435470581,0.6666280031204224,0.838744580745697,0.973287045955658,0.7695218920707703,0.878973126411438,0.7781385183334351
12,0.7433012127876282,0.9410699009895325,0.0010000000474974513,0.9315731525421143,0.8035170435905457,0.6731237769126892,0.8479437232017517,0.9755772948265076,0.7533803582191467,0.8852360844612122,0.8014069199562073
13,0.749796986579895,0.9429426789283752,0.0010000000474974513,0.9262499809265137,0.8106574416160583,0.6793875694274902,0.838203489780426,0.9749030470848083,0.7537959218025208,0.8769602179527283,0.786796510219574
14,0.7520009279251099,0.945421576499939,0.0010000000474974513,0.9120190143585205,0.8131729960441589,0.6745157241821289,0.838203489780426,0.9733373522758484,0.7619816064834595,0.8681055307388306,0.7835497856140137
15,0.7596566677093506,0.9476866126060486,0.0003000000142492354,0.8999224305152893,0.8167291879653931,0.6818234324455261,0.8566017150878906,0.9786967039108276,0.7248566150665283,0.8949939012527466,0.7932900190353394
16,0.7681243419647217,0.9509387016296387,0.0003000000142492354,0.8777669072151184,0.8325759768486023,0.6800835132598877,0.8598484992980957,0.9807912707328796,0.7145398855209351,0.9069197773933411,0.8014069199562073
17,0.7745041251182556,0.953037679195404,0.0003000000142492354,0.8697409629821777,0.8373442888259888,0.6861153244972229,0.8609307408332825,0.9800140857696533,0.7150599956512451,0.8987265229225159,0.801948070526123
